model,model_type,ablation,status,generation_pct,eval_pct,code_debug,code_translation,code_requirement_switch,code_polishment
codellama-13b-hf,base,Baseline,eval_partial,100%,99.5%,6.3,40.8,5.1,26.2
codellama-13b-hf,base,LLM-Cleaning,eval_complete,100%,100%,15.0,43.4,4.6,22.2
codellama-13b-hf,base,Static-Cleaning,eval_complete,100%,100%,6.4,42.6,4.3,27.3
codellama-13b-hf,base,Unfiltered,eval_partial,100%,99.5%,9.0,40.8,3.2,25.3
codellama-7b-hf,base,Baseline,eval_partial,100%,99.5%,4.8,35.8,3.4,25.2
codellama-7b-hf,base,LLM-Cleaning,eval_partial,100%,99.5%,9.5,31.6,2.2,24.7
codellama-7b-hf,base,Static-Cleaning,eval_partial,100%,99.7%,4.7,29.6,3.7,38.7
codellama-7b-hf,base,Unfiltered,eval_partial,100%,99.5%,5.4,32.0,3.4,28.9
deepseek-coder-6.7b-base,base,Baseline,eval_partial,100%,99.5%,17.2,47.3,10.3,23.4
deepseek-coder-6.7b-base,base,LLM-Cleaning,eval_partial,100%,99.5%,7.4,47.4,9.6,26.3
deepseek-coder-6.7b-base,base,Static-Cleaning,eval_partial,100%,99.5%,19.6,45.7,9.7,27.0
deepseek-coder-6.7b-base,base,Unfiltered,eval_partial,100%,99.5%,18.7,47.1,10.4,25.2
deepseek-coder-6.7b-instruct,instruct,Baseline,eval_partial,100%,99.6%,24.9,33.4,13.9,16.2
deepseek-coder-6.7b-instruct,instruct,LLM-Cleaning,eval_partial,100%,88.9%,22.0,39.3,11.0,18.8
deepseek-coder-6.7b-instruct,instruct,Static-Cleaning,eval_partial,100%,99.5%,20.7,42.4,9.9,27.8
deepseek-coder-6.7b-instruct,instruct,Unfiltered,eval_partial,100%,6.1%,19.1,38.7,10.2,21.2
llama-3.2-3b,base,Baseline,eval_complete,100%,100%,6.9,28.5,1.6,48.3
llama-3.2-3b,base,LLM-Cleaning,eval_partial,100%,99.9%,8.2,27.1,1.7,24.8
llama-3.2-3b,base,Static-Cleaning,eval_partial,100%,99.4%,6.6,24.9,1.2,20.3
llama-3.2-3b,base,Unfiltered,eval_complete,100%,100%,4.8,20.6,1.4,22.5
qwen2.5-3b,base,Baseline,eval_complete,100%,100%,17.3,37.1,4.0,16.4
qwen2.5-3b,base,LLM-Cleaning,eval_partial,8.1%,93.8%,-,55.3,1.9,54.4
qwen2.5-3b,base,Static-Cleaning,eval_complete,100%,100%,14.7,42.2,3.4,22.1
qwen2.5-3b,base,Unfiltered,eval_complete,100%,100%,14.6,42.4,3.4,28.0
qwen2.5-coder-14b,base,Baseline,eval_complete,100%,100%,0.0,0.0,0.0,0.0
qwen2.5-coder-14b,base,LLM-Cleaning,eval_partial,100%,99.5%,27.8,56.5,17.1,25.9
qwen2.5-coder-14b,base,Static-Cleaning,eval_partial,100%,99.5%,26.3,49.9,13.6,27.3
qwen2.5-coder-14b,base,Unfiltered,eval_partial,100%,99.5%,26.3,52.4,15.2,53.6
qwen2.5-coder-14b-instruct,instruct,Baseline,eval_complete,100%,100%,29.2,47.6,16.3,22.4
qwen2.5-coder-14b-instruct,instruct,LLM-Cleaning,eval_partial,100%,99.5%,27.1,54.2,17.2,23.4
qwen2.5-coder-14b-instruct,instruct,Static-Cleaning,eval_partial,100%,99.4%,26.1,50.5,15.2,18.7
qwen2.5-coder-14b-instruct,instruct,Unfiltered,eval_partial,100%,99.5%,24.4,53.0,16.0,17.2
qwen2.5-coder-3b,base,Baseline,eval_complete,100%,100%,24.6,43.3,9.0,37.0
qwen2.5-coder-3b,base,LLM-Cleaning,-,-,-,-,-,-,-
qwen2.5-coder-3b,base,Static-Cleaning,-,-,-,-,-,-,-
qwen2.5-coder-3b,base,Unfiltered,-,-,-,-,-,-,-
qwen2.5-coder-3b-instruct,instruct,Baseline,eval_partial,100%,99.5%,21.2,34.3,8.6,15.4
qwen2.5-coder-3b-instruct,instruct,LLM-Cleaning,eval_partial,100%,99.5%,22.4,45.1,9.6,12.4
qwen2.5-coder-3b-instruct,instruct,Static-Cleaning,eval_complete,100%,100%,14.8,33.1,2.5,13.7
qwen2.5-coder-3b-instruct,instruct,Unfiltered,eval_complete,100%,100%,16.8,33.5,3.6,12.8
qwen2.5-coder-7b,base,Baseline,eval_complete,100%,100%,0.0,0.0,0.0,0.2
qwen2.5-coder-7b,base,LLM-Cleaning,eval_complete,100%,100%,27.7,52.8,13.0,14.2
qwen2.5-coder-7b,base,Static-Cleaning,eval_partial,100%,99.5%,28.9,49.0,11.6,52.0
qwen2.5-coder-7b,base,Unfiltered,eval_partial,100%,99.5%,23.9,47.6,11.6,25.5
qwen2.5-coder-7b-instruct,instruct,Baseline,eval_complete,100%,100%,26.1,50.1,15.2,11.2
qwen2.5-coder-7b-instruct,instruct,LLM-Cleaning,eval_complete,100%,100%,26.0,51.5,13.5,11.0
qwen2.5-coder-7b-instruct,instruct,Static-Cleaning,eval_partial,100%,99.5%,24.4,48.5,13.0,19.7
qwen2.5-coder-7b-instruct,instruct,Unfiltered,eval_complete,100%,100%,21.2,48.8,12.8,17.1
