path,violations,max_tokens,median_tokens
benchmark_runs/llama-3.2-3b-lora-unclean-20260422T143255674865Z/raw/code_translate/llama_3_2_3b_lora_unclean_20260422T143255674865Z_0_end.jsonl,2525,8166,4332
benchmark_runs/llama-3.2-3b-lora-unclean-20260422T073747642660Z/raw/code_translate/llama_3_2_3b_lora_unclean_20260422T073747642660Z_0_end.jsonl,2524,10859,4338
benchmark_runs/llama-3.2-3b-lora-dirty-20260410T205740169730Z/raw/code_translate/llama_3_2_3b_lora_dirty_20260410T205740169730Z_0_end.jsonl,2522,8141,4289
benchmark_runs/llama-3.2-3b-lora-dirty-20260418T050728766994Z/raw/code_translate/llama_3_2_3b_lora_dirty_20260418T050728766994Z_0_end.jsonl,2522,6118,4293
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean74k-20260410T101813368867Z/raw/code_translate/deepseek_coder_6_7b_base_lora_unclean74k_20260410T101813368867Z_0_end.jsonl,2521,6155,5970
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean74k-20260419T075715807957Z/raw/code_translate/deepseek_coder_6_7b_base_lora_unclean74k_20260419T075715807957Z_0_end.jsonl,2521,6155,5971
benchmark_runs/llama-3.2-3b-lora-clean-20260410T200640322209Z/raw/code_translate/llama_3_2_3b_lora_clean_20260410T200640322209Z_0_end.jsonl,2521,6440,4331
benchmark_runs/llama-3.2-3b-lora-clean-20260418T041625154798Z/raw/code_translate/llama_3_2_3b_lora_clean_20260418T041625154798Z_0_end.jsonl,2518,6440,4333
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260422T175621184548Z/raw/code_translate/qwen2_5_coder_7b_lora_unclean_20260422T175621184548Z_0_end.jsonl,2518,15473,4270
benchmark_runs/deepseek-coder-6.7b-base-lora-dirty-20260410T093652677124Z/raw/code_translate/deepseek_coder_6_7b_base_lora_dirty_20260410T093652677124Z_0_end.jsonl,2517,6149,5922
benchmark_runs/deepseek-coder-6.7b-base-lora-dirty-20260419T061424111401Z/raw/code_translate/deepseek_coder_6_7b_base_lora_dirty_20260419T061424111401Z_0_end.jsonl,2516,6146,5921
