model,model_type,ablation,status,generation_pct,eval_pct,code_debug,code_translation,code_requirement_switch,code_polishment
codellama-13b-hf,base,Baseline,eval_partial,100%,99.5%,8.3,28.1,5.1,30.7
codellama-13b-hf,base,LLM-Cleaning,eval_complete,100%,100%,31.7,33.5,4.6,23.2
codellama-13b-hf,base,Static-Cleaning,eval_complete,100%,100%,28.4,27.0,4.3,32.2
codellama-13b-hf,base,Unfiltered,eval_partial,100%,99.5%,24.1,27.5,3.2,27.3
codellama-7b-hf,base,Baseline,eval_partial,100%,99.5%,3.6,18.9,3.4,30.8
codellama-7b-hf,base,LLM-Cleaning,eval_partial,100%,99.5%,24.8,23.1,2.2,22.6
codellama-7b-hf,base,Static-Cleaning,eval_partial,100%,99.7%,19.9,20.9,3.7,42.2
codellama-7b-hf,base,Unfiltered,eval_partial,100%,99.5%,20.1,21.8,3.4,36.0
deepseek-coder-6.7b-base,base,Baseline,eval_partial,100%,99.5%,31.9,31.1,10.3,35.3
deepseek-coder-6.7b-base,base,LLM-Cleaning,eval_partial,100%,99.5%,31.5,41.5,9.6,36.1
deepseek-coder-6.7b-base,base,Static-Cleaning,eval_partial,100%,99.5%,39.4,36.8,9.7,40.0
deepseek-coder-6.7b-base,base,Unfiltered,eval_partial,100%,99.5%,41.7,39.0,10.4,38.3
deepseek-coder-6.7b-instruct,instruct,Baseline,eval_partial,100%,99.6%,41.7,38.2,13.9,21.6
deepseek-coder-6.7b-instruct,instruct,LLM-Cleaning,eval_partial,100%,88.9%,31.8,40.4,11.0,30.1
deepseek-coder-6.7b-instruct,instruct,Static-Cleaning,eval_partial,100%,99.5%,38.9,38.1,9.9,34.1
deepseek-coder-6.7b-instruct,instruct,Unfiltered,eval_partial,100%,6.1%,38.9,37.8,10.2,27.0
llama-3.2-3b,base,Baseline,eval_complete,100%,100%,5.0,20.2,1.6,52.9
llama-3.2-3b,base,LLM-Cleaning,eval_partial,100%,99.9%,23.7,18.7,1.7,34.8
llama-3.2-3b,base,Static-Cleaning,eval_partial,100%,99.4%,21.2,18.4,1.2,32.0
llama-3.2-3b,base,Unfiltered,eval_complete,100%,100%,12.5,15.9,1.4,34.8
qwen2.5-3b,base,Baseline,eval_complete,100%,100%,33.6,29.5,4.0,22.7
qwen2.5-3b,base,LLM-Cleaning,eval_partial,8.1%,93.8%,26.9,55.3,1.9,54.4
qwen2.5-3b,base,Static-Cleaning,eval_complete,100%,100%,25.2,28.9,3.4,24.4
qwen2.5-3b,base,Unfiltered,eval_complete,100%,100%,24.9,31.6,3.4,30.1
qwen2.5-coder-14b,base,Baseline,eval_complete,100%,100%,0.0,0.0,0.0,0.0
qwen2.5-coder-14b,base,LLM-Cleaning,eval_partial,100%,99.5%,52.7,49.1,17.1,38.1
qwen2.5-coder-14b,base,Static-Cleaning,eval_partial,100%,99.5%,49.3,40.5,13.6,35.6
qwen2.5-coder-14b,base,Unfiltered,eval_partial,100%,99.5%,51.1,47.2,15.2,63.0
qwen2.5-coder-14b-instruct,instruct,Baseline,eval_complete,100%,100%,49.1,46.7,16.3,31.1
qwen2.5-coder-14b-instruct,instruct,LLM-Cleaning,eval_partial,100%,99.5%,52.0,49.1,17.2,35.1
qwen2.5-coder-14b-instruct,instruct,Static-Cleaning,eval_partial,100%,99.4%,49.4,46.9,15.2,34.3
qwen2.5-coder-14b-instruct,instruct,Unfiltered,eval_partial,100%,99.5%,49.4,46.9,16.0,31.1
qwen2.5-coder-3b,base,Baseline,eval_complete,100%,100%,42.1,34.8,9.0,40.3
qwen2.5-coder-3b,base,LLM-Cleaning,-,-,-,-,-,-,-
qwen2.5-coder-3b,base,Static-Cleaning,-,-,-,-,-,-,-
qwen2.5-coder-3b,base,Unfiltered,-,-,-,-,-,-,-
qwen2.5-coder-3b-instruct,instruct,Baseline,eval_partial,100%,99.5%,38.9,29.0,8.6,23.0
qwen2.5-coder-3b-instruct,instruct,LLM-Cleaning,eval_partial,100%,99.5%,40.7,37.5,9.6,25.7
qwen2.5-coder-3b-instruct,instruct,Static-Cleaning,eval_complete,100%,100%,30.3,23.4,2.5,17.0
qwen2.5-coder-3b-instruct,instruct,Unfiltered,eval_complete,100%,100%,29.2,24.9,3.6,17.3
qwen2.5-coder-7b,base,Baseline,eval_complete,100%,100%,0.0,0.0,0.0,0.1
qwen2.5-coder-7b,base,LLM-Cleaning,eval_complete,100%,100%,47.8,40.6,13.0,21.7
qwen2.5-coder-7b,base,Static-Cleaning,eval_partial,100%,99.5%,47.8,36.1,11.6,64.8
qwen2.5-coder-7b,base,Unfiltered,eval_partial,100%,99.5%,44.8,36.8,11.6,34.6
qwen2.5-coder-7b-instruct,instruct,Baseline,eval_complete,100%,100%,44.2,43.0,15.2,19.5
qwen2.5-coder-7b-instruct,instruct,LLM-Cleaning,eval_complete,100%,100%,46.0,40.8,13.5,17.1
qwen2.5-coder-7b-instruct,instruct,Static-Cleaning,eval_partial,100%,99.5%,41.7,36.3,13.0,29.6
qwen2.5-coder-7b-instruct,instruct,Unfiltered,eval_complete,100%,100%,43.1,37.5,12.8,24.6
qwen3-14b-base,base,Baseline,eval_complete,100%,100%,48.4,46.4,15.4,27.0
qwen3-14b-base,base,LLM-Cleaning,eval_complete,100%,100%,30.4,43.6,13.2,44.7
qwen3-14b-base,base,Static-Cleaning,eval_partial,100%,99.5%,43.4,39.2,11.2,33.9
qwen3-14b-base,base,Unfiltered,eval_partial,100%,99.5%,38.3,45.5,13.1,35.9
qwen3-4b-base,base,Baseline,eval_complete,100%,100%,45.3,35.4,9.4,25.0
